"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",7,50,"0,534326","0,017829","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",8,50,"0,844668","0,028661","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",8,50,"0,219501","0,013631","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",8,50,"0,625167","0,029122","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",8,50,"0,913506","0,032553","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",8,50,"0,286762","0,012117","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",8,50,"0,626744","0,027980","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",7,50,"0,034285","0,000255","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",7,50,"0,102334","0,001220","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",7,50,"0,024966","0,000282","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",7,50,"0,101054","0,000548","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",7,50,"0,623095","0,002088","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",7,50,"0,209153","0,002071","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",8,50,"0,556443","0,011715","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",8,50,"0,060386","0,005580","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",8,50,"0,496057","0,013605","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",8,50,"0,956311","0,008350","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",8,50,"0,298114","0,005711","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",8,50,"0,658197","0,011600","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",8,50,"0,551104","0,019812","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",8,50,"0,059406","0,004676","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",8,50,"0,491698","0,020890","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",8,50,"0,500620","0,012151","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",8,50,"0,364706","0,010550","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",8,50,"0,135914","0,004270","ops/ns"
